,name,tags
88,"Zero Sugar (400g) | Stevia and Monk Fruit Sweetener | No Maltodextrin, No Aspartame | No Bitter Aftertaste | Sugar Free | ...",grocery & gourmet foods grocery & gourmet foods 4.1 ₹559 ₹799
89,"Nature Fresh Sampoorna Atta, superior MP Atta , 10kg",grocery & gourmet foods grocery & gourmet foods 4.3 ₹440 ₹475
90,"Kellogg's Crunchy Granola Chocolate & Almonds 450g | 15% Almonds, Baked Multigrain | Golden Wheat, Nutritious Oats, Crispy...",grocery & gourmet foods grocery & gourmet foods 4.4 ₹343 ₹350
91,"Britannia Vita Marie Gold Biscuits, 978g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹132 ₹155
92,"VAHDAM Organic Green Tea Bags - 15 Units | Green Tea for Weight Loss | USDA Certified | Zero Calories, Improves Metabolism...",grocery & gourmet foods grocery & gourmet foods 4.2 ₹145 ₹225
93,"Freedom Refined Sunflower Oil, 1L",grocery & gourmet foods grocery & gourmet foods 4.4 ₹188 ₹195
94,HATHMIC Raw Extra Virgin Coconut Oil (Cold Pressed)1000ml,grocery & gourmet foods grocery & gourmet foods 4.4 ₹615 ₹690
95,"Cadbury Dairy Milk Chocolate Home Treats Pack, 126g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹124 ₹149
96,"Haldiram's Nagpur Bhujia Sev, 200g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹49 ₹55
97,"Britannia Toastea Premium Bake Rusk, 150g or 167g (Weight May Vary)",grocery & gourmet foods grocery & gourmet foods 4.1 ₹35 ₹40
98,"3S Pulses - White Peas, 500g",grocery & gourmet foods grocery & gourmet foods 4.2 ₹199 ₹249
99,Goodricke Roasted Organic Darjeeling Tea - 250gm | 100% Organic Whole Leaf Tea | Darjeeling Long Leaf Tea | Flavoury Golde...,grocery & gourmet foods grocery & gourmet foods 4.2 ₹285 ₹300
100,"Weikfield Baking Powder, 100g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹33 ₹35
101,"Mother Dairy UHT Milk, 1 Ltr",grocery & gourmet foods grocery & gourmet foods 4.3 ₹69.83 ₹75
102,Top Ramen Masala 480g / 560g (Weight May Vary),grocery & gourmet foods grocery & gourmet foods 4.4 ₹101 ₹106
103,GO DESi - Pops Trial Pack | Gift Basket | DESi POPz | Tangy Imli | Kaccha Aam | Real Aam | Lollipop,grocery & gourmet foods grocery & gourmet foods 3.9 ₹445 ₹500
104,"Nestle a+ Nourish Toned Milk, 1Ltr",grocery & gourmet foods grocery & gourmet foods 4.5 ₹90 ₹101
105,"Wagh Bakri Ginger Instant Tea Premix, 140g",grocery & gourmet foods grocery & gourmet foods 4.2 ₹139 ₹150
106,"KLF Coconad Instant Coconut Milk Powder, 1kg",grocery & gourmet foods grocery & gourmet foods 4.4 ₹670 ₹850
107,"More Superior Clove (Lavang), 20g Pouch",grocery & gourmet foods grocery & gourmet foods 4.3 ₹189 ₹249
108,Paper Boat Dry Fruit Chikki | No Preservatives and Colors | 250g / 280g (Weight May Vary),grocery & gourmet foods grocery & gourmet foods 4.2 ₹276 ₹300
109,"Thums Up Soft Drink PET Bottle, 1.25 L",grocery & gourmet foods grocery & gourmet foods 4.4 ₹64 ₹65
