,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
54,Himalaya Wellness Pure Herbs Shatavari Women's Wellness | Promotes lactation | - 60 Tablets,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61cF+L8aeEL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Wellness-Herbs-Shatavari-Womens/dp/B003RK877I/ref=sr_1_1338_mod_primary_new?qid=1679216194&s=grocery&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1338,4.1,"2,467",₹165,₹180
55,"More Whole Masoor Malka - Red, 500g (Loose)",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/716VAVQvxjL._AC_UL320_.jpg,https://www.amazon.in/More-Masoor-Malka-Whole-Loose/dp/B07MGR72RV/ref=sr_1_1340?qid=1679216194&s=grocery&sr=1-1340,4.1,195,₹149,₹199
56,"Urban Platter Baker's Active Dry Yeast, 100g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71scYxnHEgL._AC_UL320_.jpg,https://www.amazon.in/Urban-Platter-Bakers-Active-Yeast/dp/B014Y2JKWS/ref=sr_1_1341?qid=1679216194&s=grocery&sr=1-1341,4.3,"2,893",₹195,₹250
57,"Lipton Honey Lemon Green Tea Bags, 25 Pieces",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/614Vy2M-YUL._AC_UL320_.jpg,https://www.amazon.in/Lipton-Honey-Lemon-Green-Pieces/dp/B01G6IWQWO/ref=sr_1_1342?qid=1679216194&s=grocery&sr=1-1342,4.3,"3,271",₹170,₹180
58,"Amazon Brand - Vedaka Poppy Seeds (Khus Khus), 200g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/91eXmQplbIL._AC_UL320_.jpg,https://www.amazon.in/Vedaka-Khus-KhusPoppy-Seeds-200g/dp/B07H2SZV4R/ref=sr_1_1343?qid=1679216194&s=grocery&sr=1-1343,4.3,"1,707",₹499,₹600
59,"Manna Foxtail Millet Natural Grains, 1kg (500g x 2 Packs) - (Kaon/Kang/Kangni/Kakum/Navani/korralu/Korra/Thinai) | Native ...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/81+zN8b8ATL._AC_UL320_.jpg,https://www.amazon.in/Manna-Foxtail-Millet-Natural-Grains/dp/B092MKBQ2X/ref=sr_1_1344?qid=1679216194&s=grocery&sr=1-1344,4.3,"1,572",₹179,₹198
60,"ORGANIC INDIA Cold Pressed Virgin Coconut Oil, 500ml (Pack of 1)",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71TAyjyYmyL._AC_UL320_.jpg,https://www.amazon.in/Organic-India-Virgin-Coconut-500ml/dp/B01A5O5H2G/ref=sr_1_1489?qid=1679216197&s=grocery&sr=1-1489,4.4,"1,853",₹693,₹725
61,"Paper Boat Panipuri Pellets I Hygienic & Tasty I Ready to Fry I Golgappe, 400g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61TWHgzjIDL._AC_UL320_.jpg,https://www.amazon.in/Paper-Boat-Pellets-Colours-Preservatives/dp/B08GMPWRBP/ref=sr_1_1490?qid=1679216197&s=grocery&sr=1-1490,4.1,"3,203",₹184,₹200
62,"Tata Sampann 6 Grain Khichdi Mix, Instant Ready to Cook Mix, 180g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71rk3rEXO4S._AC_UL320_.jpg,https://www.amazon.in/Tata-Sampann-Multigrain-Khichdi-Pongal/dp/B07BZ4MWV8/ref=sr_1_1491_f3_0g_fs?qid=1679216197&s=grocery&sr=1-1491,4.2,"1,307",₹60,₹70
63,"Sunfeast YiPPee! Pasta Treat | Cheesy and Soft Suji, Rawa Pasta | Tomato Cheese | 65g Pack",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/8193nBUmmRL._AC_UL320_.jpg,https://www.amazon.in/Sunfeast-Pasta-Treat-Tomato-Cheese/dp/B00GNTXC5M/ref=sr_1_1492_f3_0g_fs?qid=1679216197&s=grocery&sr=1-1492,3.9,"1,876",₹23,₹28
